"node_1","node_2","edge"
10731,116,5
10743,116,3
10749,116,3
10751,116,4
10753,116,2
10761,116,5
10764,116,5
10765,116,3
10766,116,3
10769,116,3
10775,116,3
10777,116,3
10778,116,3
10780,116,5
10782,116,5
10787,116,4
10790,116,5
10792,116,3
10793,116,5
10795,116,1
10819,116,3
1084,116,1
10852,116,3
1087,116,3
10893,116,1
1091,116,5
11024517,116,3
11026082,116,5
11105,116,3
11128,116,2
1116,116,3
11291,116,3
11335,116,3
11410,116,5
11411,116,3
1147,116,5
11470,116,5
11511,116,5
1,11659,3
10021,11659,3
10041,11659,3
10063,11659,2
10128,11659,4
10129,11659,1
10131,11659,4
10149,11659,3
10395,11659,3
10450,11659,3
10675006,11659,1
10707,11659,1
10708,11659,2
10710,11659,3
10716,11659,3
10721,11659,4
10723,11659,3
10726,11659,5
10731,11659,3
10734,11659,2
10737,11659,3
10751,11659,3
10753,11659,3
10761,11659,3
10764,11659,3
10766,11659,4
10778,11659,1
10780,11659,3
10782,11659,5
10787,11659,3
10790,11659,3
10792,11659,3
10795,11659,3
10852,11659,5
1087,11659,1
1091,11659,3
11024517,11659,3
11105,11659,3
1116,11659,3
11291,11659,2
113147,11659,2
11335,11659,2
11410,11659,3
11411,11659,3
1146,11659,2
1147,11659,1
11470,11659,3
11511,11659,3
116,11659,5
10063,116770,2
10128,116770,3
10129,116770,3
10131,116770,3
1020,116770,2
1025,116770,4
1039,116770,1
10450,116770,1
105204,116770,4
10708,116770,1
10710,116770,1
10713,116770,3
10716,116770,4
10721,116770,5
10723,116770,2
10726,116770,3
10743,116770,3
10749,116770,5
10751,116770,3
10753,116770,1
10764,116770,3
10765,116770,2
10766,116770,5
10769,116770,3
10777,116770,2
10778,116770,1
10780,116770,2
10787,116770,4
10790,116770,2
10792,116770,2
10796,116770,2
10819,116770,3
1084,116770,1
10852,116770,2
1087,116770,3
11024517,116770,2
11026082,116770,4
11128,116770,1
113147,116770,3
11335,116770,1
113907,116770,1
11410,116770,2
1147,116770,2
11470,116770,4
11511,116770,2
11659,116770,3
10063,11853,5
10131,11853,1
10149,11853,1
1025,11853,4
1039,11853,4
10395,11853,1
105204,11853,3
10675006,11853,3
10707,11853,3
10708,11853,3
10713,11853,3
10716,11853,4
10717,11853,1
10721,11853,3
10723,11853,3
10725,11853,4
10734,11853,2
10743,11853,3
10749,11853,3
10751,11853,1
10753,11853,4
10761,11853,3
10764,11853,3
10765,11853,3
10766,11853,3
10769,11853,3
10777,11853,5
10780,11853,3
10782,11853,3
10790,11853,4
10792,11853,3
10793,11853,5
10795,11853,2
10819,11853,5
1084,11853,3
10852,11853,3
1087,11853,3
1091,11853,2
11026082,11853,3
11105,11853,5
11128,11853,2
11291,11853,1
11335,11853,4
113907,11853,2
11411,11853,4
1147,11853,3
11470,11853,4
11511,11853,3
116,11853,4
116770,11853,2
1,11860,5
10021,11860,3
10047,11860,2
10063,11860,3
10129,11860,1
10149,11860,5
1025,11860,3
1039,11860,3
10395,11860,5
10675006,11860,3
10707,11860,5
10708,11860,4
10710,11860,2
